content,style,method,image,delta_colorfulness,edge_iou,lpips
portrait2,Monet,Gatys,,,,
portrait2,Monet,AdaIN,,,,
portrait2,Monet,WCT,,,,
portrait2,Ukiyo-e_print,Gatys,out\phase2_demo\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.04_fp0.90_final.jpg,0.0099,0.0624,0.6204
portrait2,Ukiyo-e_print,AdaIN,,,,
portrait2,Ukiyo-e_print,WCT,,,,
city,Monet,Gatys,,,,
city,Monet,AdaIN,,,,
city,Monet,WCT,,,,
city,Ukiyo-e_print,Gatys,,,,
city,Ukiyo-e_print,AdaIN,,,,
city,Ukiyo-e_print,WCT,,,,
Still_Life,Monet,Gatys,out\phase2_smoke\finals\Still_Life__Monet__sw15000_tv0.0020_ew0.04_fp0.36_cpm0.60_final.jpg,-0.0495,0.2301,0.2625
Still_Life,Monet,AdaIN,,,,
Still_Life,Monet,WCT,,,,
Still_Life,Ukiyo-e_print,Gatys,,,,
Still_Life,Ukiyo-e_print,AdaIN,,,,
Still_Life,Ukiyo-e_print,WCT,,,,
