pair,method,colorfulness,edge_iou,lpips,path
portrait2__Monet,Gatys,27.637,0.035,0.5723,out\phase2\finals\portrait2__Monet__sw14k_tv0.0022_edge0.04_fp0.95_cpm0.3_layers45_final.jpg
portrait2__Ukiyo-e_print,Gatys,20.623,0.052,0.7161,out\phase2\finals\portrait2__Ukiyo-e_print__sw14k_tv0.0022_edge0.04_fp0.95_cpm0.3_layers45_final.jpg
city__Monet,Gatys,33.443,0.122,0.7086,out\phase2\finals\city__Monet__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345_final.jpg
city__Ukiyo-e_print,Gatys,33.588,0.098,0.7295,out\phase2\finals\city__Ukiyo-e_print__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345_final.jpg
Still_Life__Monet,Gatys,46.412,0.3,0.4824,out\phase2\finals\Still_Life__Monet__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345_final.jpg
Still_Life__Ukiyo-e_print,Gatys,20.316,0.144,0.7556,out\phase2\finals\Still_Life__Ukiyo-e_print__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345_final.jpg
portrait2__Monet,AdaIN,,,,
portrait2__Ukiyo-e_print,AdaIN,,,,
city__Monet,AdaIN,,,,
city__Ukiyo-e_print,AdaIN,,,,
Still_Life__Monet,AdaIN,,,,
Still_Life__Ukiyo-e_print,AdaIN,,,,
portrait2__Monet,WCT,,,,
portrait2__Ukiyo-e_print,WCT,,,,
city__Monet,WCT,,,,
city__Ukiyo-e_print,WCT,,,,
Still_Life__Monet,WCT,,,,
Still_Life__Ukiyo-e_print,WCT,,,,
