stem,content,style,params,style_weight,tv_weight,edge,face_preserve,cpm,layers
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345,14000,0.0024,0.06,0.65,0.3,345
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers45,14000,0.0024,0.06,0.65,0.3,45
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.65_cpm0.6_layers45,14000,0.0024,0.06,0.65,0.6,45
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.75_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.75_cpm0.3_layers45,14000,0.0024,0.06,0.75,0.3,45
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.75_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.75_cpm0.6_layers45,14000,0.0024,0.06,0.75,0.6,45
Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.65_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.1_fp0.65_cpm0.3_layers45,14000,0.0024,0.1,0.65,0.3,45
Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.65_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.1_fp0.65_cpm0.6_layers45,14000,0.0024,0.1,0.65,0.6,45
Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.75_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.1_fp0.75_cpm0.3_layers45,14000,0.0024,0.1,0.75,0.3,45
Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.75_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.1_fp0.75_cpm0.6_layers45,14000,0.0024,0.1,0.75,0.6,45
Still_Life__Matisse__sw14k_tv0.0028_edge0.06_fp0.65_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0028_edge0.06_fp0.65_cpm0.3_layers45,14000,0.0028,0.06,0.65,0.3,45
Still_Life__Matisse__sw14k_tv0.0028_edge0.06_fp0.65_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0028_edge0.06_fp0.65_cpm0.6_layers45,14000,0.0028,0.06,0.65,0.6,45
Still_Life__Matisse__sw14k_tv0.0028_edge0.06_fp0.75_cpm0.3_layers345,Still_Life,Matisse,sw14k_tv0.0028_edge0.06_fp0.75_cpm0.3_layers345,14000,0.0028,0.06,0.75,0.3,345
Still_Life__Matisse__sw14k_tv0.0028_edge0.06_fp0.75_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0028_edge0.06_fp0.75_cpm0.3_layers45,14000,0.0028,0.06,0.75,0.3,45
Still_Life__Matisse__sw14k_tv0.0028_edge0.06_fp0.75_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0028_edge0.06_fp0.75_cpm0.6_layers45,14000,0.0028,0.06,0.75,0.6,45
Still_Life__Matisse__sw14k_tv0.0028_edge0.1_fp0.65_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0028_edge0.1_fp0.65_cpm0.3_layers45,14000,0.0028,0.1,0.65,0.3,45
Still_Life__Matisse__sw14k_tv0.0028_edge0.1_fp0.65_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0028_edge0.1_fp0.65_cpm0.6_layers45,14000,0.0028,0.1,0.65,0.6,45
Still_Life__Matisse__sw14k_tv0.0028_edge0.1_fp0.75_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0028_edge0.1_fp0.75_cpm0.3_layers45,14000,0.0028,0.1,0.75,0.3,45
Still_Life__Matisse__sw14k_tv0.0028_edge0.1_fp0.75_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0028_edge0.1_fp0.75_cpm0.6_layers45,14000,0.0028,0.1,0.75,0.6,45
Still_Life__Matisse__sw14k_tv0.0032_edge0.06_fp0.65_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0032_edge0.06_fp0.65_cpm0.3_layers45,14000,0.0032,0.06,0.65,0.3,45
Still_Life__Matisse__sw14k_tv0.0032_edge0.06_fp0.65_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0032_edge0.06_fp0.65_cpm0.6_layers45,14000,0.0032,0.06,0.65,0.6,45
