stem,content,style,params,raw_path,fin_path,content_path,edge_iou_raw,edge_iou_fin,delta_edge_iou,edge_density_raw,edge_density_fin,delta_edge_density,color_raw,color_fin,delta_color,lpips_raw_fin
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers345_final.jpg,data\content\Still_Life.jpg,0.1604804623885683,0.15474430142454287,-0.005736160964025433,0.2847018771701389,0.1089748806423611,-0.1757269965277778,65.58936473891976,60.77624748168199,-4.813117257237764,0.5542667508125305
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers45,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers45_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.3_layers45_final.jpg,data\content\Still_Life.jpg,0.3197829203358591,0.12071589015288747,-0.19906703018297162,0.10705735948350695,0.05024380154079861,-0.056813557942708336,66.22453748952357,64.78608477802089,-1.438452711502677,0.3972151279449463
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.65_cpm0.6_layers45,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.6_layers45_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.65_cpm0.6_layers45_final.jpg,data\content\Still_Life.jpg,0.2593999438032698,0.11730048205677558,-0.14209946174649424,0.0718570285373264,0.050587972005208336,-0.02126905653211806,70.28455001445528,65.79682898345749,-4.48772103099779,0.3423316776752472
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.75_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.75_cpm0.3_layers45,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.75_cpm0.3_layers45_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.75_cpm0.3_layers45_final.jpg,data\content\Still_Life.jpg,0.32369097273946074,0.11933901368448231,-0.20435195905497844,0.10772874620225695,0.05043199327256945,-0.0572967529296875,66.2129604487125,64.76286462942434,-1.4500958192881512,0.397636741399765
Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.75_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.06_fp0.75_cpm0.6_layers45,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.75_cpm0.6_layers45_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0024_edge0.06_fp0.75_cpm0.6_layers45_final.jpg,data\content\Still_Life.jpg,0.2613302065557638,0.12011187545629351,-0.14121833109947027,0.07094828287760417,0.051367865668402776,-0.019580417209201395,70.25055100015769,65.7689621239106,-4.481588876247088,0.3395942151546478
Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.65_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.1_fp0.65_cpm0.3_layers45,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.65_cpm0.3_layers45_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.65_cpm0.3_layers45_final.jpg,data\content\Still_Life.jpg,0.32331600403934624,0.12001738482553086,-0.20329861921381537,0.10662841796875,0.05018446180555555,-0.05644395616319445,66.22742550659655,64.7656015735539,-1.461823933042652,0.3990043103694916
Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.65_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.1_fp0.65_cpm0.6_layers45,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.65_cpm0.6_layers45_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.65_cpm0.6_layers45_final.jpg,data\content\Still_Life.jpg,0.26529435204798557,0.11884518552148252,-0.14644916652650306,0.07125345865885417,0.05052354600694445,-0.020729912651909724,70.29331945589442,65.77565617145653,-4.517663284437887,0.34117764234542847
Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.75_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.1_fp0.75_cpm0.3_layers45,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.75_cpm0.3_layers45_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.75_cpm0.3_layers45_final.jpg,data\content\Still_Life.jpg,0.3238250170626128,0.11983586105927355,-0.20398915600333925,0.10674540201822917,0.05082872178819445,-0.055916680230034724,66.21598577545898,64.77800923392962,-1.437976541529352,0.3977421820163727
Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.75_cpm0.6_layers45,Still_Life,Matisse,sw14k_tv0.0024_edge0.1_fp0.75_cpm0.6_layers45,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.75_cpm0.6_layers45_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0024_edge0.1_fp0.75_cpm0.6_layers45_final.jpg,data\content\Still_Life.jpg,0.2618058258555213,0.1200317800982294,-0.1417740457572919,0.0700412326388889,0.05071851942274305,-0.019322713216145843,70.26453826368476,65.77859337255737,-4.485944891127389,0.33884692192077637
Still_Life__Matisse__sw14k_tv0.0028_edge0.06_fp0.65_cpm0.3_layers45,Still_Life,Matisse,sw14k_tv0.0028_edge0.06_fp0.65_cpm0.3_layers45,out\phase2\imgs\Still_Life__Matisse__sw14k_tv0.0028_edge0.06_fp0.65_cpm0.3_layers45_768.jpg,out\phase2\finals\Still_Life__Matisse__sw14k_tv0.0028_edge0.06_fp0.65_cpm0.3_layers45_final.jpg,data\content\Still_Life.jpg,0.3211278873973189,0.12034333519703465,-0.20078455220028424,0.107452392578125,0.050135294596354164,-0.057317097981770836,66.22365890318153,64.84067281209059,-1.3829860910909417,0.40103211998939514
